Pokedex Number,Name,Types,Generation,Region,Evolution_from,Evolution_to
423,Gastrodon,"Water, Ground",Generation-iv,Sinnoh,Shellos,
424,Ambipom,Normal,Generation-iv,Sinnoh,Aipom,
425,Drifloon,"Ghost, Flying",Generation-iv,Sinnoh,,Drifblim
426,Drifblim,"Ghost, Flying",Generation-iv,Sinnoh,Drifloon,
427,Buneary,Normal,Generation-iv,Sinnoh,,Lopunny
428,Lopunny,Normal,Generation-iv,Sinnoh,Buneary,
429,Mismagius,Ghost,Generation-iv,Sinnoh,Misdreavus,
430,Honchkrow,"Dark, Flying",Generation-iv,Sinnoh,Murkrow,
431,Glameow,Normal,Generation-iv,Sinnoh,,Purugly
432,Purugly,Normal,Generation-iv,Sinnoh,Glameow,
433,Chingling,Psychic,Generation-iv,Sinnoh,,Chimecho
434,Stunky,"Poison, Dark",Generation-iv,Sinnoh,,Skuntank
435,Skuntank,"Poison, Dark",Generation-iv,Sinnoh,Stunky,
436,Bronzor,"Steel, Psychic",Generation-iv,Sinnoh,,Bronzong
437,Bronzong,"Steel, Psychic",Generation-iv,Sinnoh,Bronzor,
438,Bonsly,Rock,Generation-iv,Sinnoh,,Sudowoodo
439,Mime-jr,"Psychic, Fairy",Generation-iv,Sinnoh,,Mr-mime
440,Happiny,Normal,Generation-iv,Sinnoh,,Chansey
441,Chatot,"Normal, Flying",Generation-iv,Sinnoh,,
442,Spiritomb,"Ghost, Dark",Generation-iv,Sinnoh,,
443,Gible,"Dragon, Ground",Generation-iv,Sinnoh,,Gabite
444,Gabite,"Dragon, Ground",Generation-iv,Sinnoh,Gible,Garchomp
445,Garchomp,"Dragon, Ground",Generation-iv,Sinnoh,Gabite,
446,Munchlax,Normal,Generation-iv,Sinnoh,,Snorlax
447,Riolu,Fighting,Generation-iv,Sinnoh,,Lucario
448,Lucario,"Fighting, Steel",Generation-iv,Sinnoh,Riolu,
449,Hippopotas,Ground,Generation-iv,Sinnoh,,Hippowdon
450,Hippowdon,Ground,Generation-iv,Sinnoh,Hippopotas,
451,Skorupi,"Poison, Bug",Generation-iv,Sinnoh,,Drapion
452,Drapion,"Poison, Dark",Generation-iv,Sinnoh,Skorupi,
453,Croagunk,"Poison, Fighting",Generation-iv,Sinnoh,,Toxicroak
454,Toxicroak,"Poison, Fighting",Generation-iv,Sinnoh,Croagunk,
455,Carnivine,Grass,Generation-iv,Sinnoh,,
456,Finneon,Water,Generation-iv,Sinnoh,,Lumineon
457,Lumineon,Water,Generation-iv,Sinnoh,Finneon,
458,Mantyke,"Water, Flying",Generation-iv,Sinnoh,,Mantine
459,Snover,"Grass, Ice",Generation-iv,Sinnoh,,Abomasnow
460,Abomasnow,"Grass, Ice",Generation-iv,Sinnoh,Snover,
461,Weavile,"Dark, Ice",Generation-iv,Sinnoh,Sneasel,
462,Magnezone,"Electric, Steel",Generation-iv,Sinnoh,Magneton,
463,Lickilicky,Normal,Generation-iv,Sinnoh,Lickitung,
464,Rhyperior,"Ground, Rock",Generation-iv,Sinnoh,Rhydon,
465,Tangrowth,Grass,Generation-iv,Sinnoh,Tangela,
466,Electivire,Electric,Generation-iv,Sinnoh,Electabuzz,
467,Magmortar,Fire,Generation-iv,Sinnoh,Magmar,
468,Togekiss,"Fairy, Flying",Generation-iv,Sinnoh,Togetic,
469,Yanmega,"Bug, Flying",Generation-iv,Sinnoh,Yanma,
470,Leafeon,Grass,Generation-iv,Sinnoh,Vaporeon,
471,Glaceon,Ice,Generation-iv,Sinnoh,Vaporeon,
472,Gliscor,"Ground, Flying",Generation-iv,Sinnoh,Gligar,
473,Mamoswine,"Ice, Ground",Generation-iv,Sinnoh,Piloswine,
474,Porygon-z,Normal,Generation-iv,Sinnoh,Porygon2,
475,Gallade,"Psychic, Fighting",Generation-iv,Sinnoh,Gardevoir,
476,Probopass,"Rock, Steel",Generation-iv,Sinnoh,Nosepass,
477,Dusknoir,Ghost,Generation-iv,Sinnoh,Dusclops,
478,Froslass,"Ice, Ghost",Generation-iv,Sinnoh,Glalie,
479,Rotom,"Electric, Ghost",Generation-iv,Sinnoh,,
480,Uxie,Psychic,Generation-iv,Sinnoh,,
481,Mesprit,Psychic,Generation-iv,Sinnoh,,
482,Azelf,Psychic,Generation-iv,Sinnoh,,
483,Dialga,"Steel, Dragon",Generation-iv,Sinnoh,,
484,Palkia,"Water, Dragon",Generation-iv,Sinnoh,,
485,Heatran,"Fire, Steel",Generation-iv,Sinnoh,,
486,Regigigas,Normal,Generation-iv,Sinnoh,,
487,Giratina-altered,"Ghost, Dragon",Generation-iv,Sinnoh,,
488,Cresselia,Psychic,Generation-iv,Sinnoh,,
489,Phione,Water,Generation-iv,Sinnoh,,Manaphy
490,Manaphy,Water,Generation-iv,Sinnoh,Phione,
491,Darkrai,Dark,Generation-iv,Sinnoh,,
492,Shaymin-land,Grass,Generation-iv,Sinnoh,,
493,Arceus,Normal,Generation-iv,Sinnoh,,
494,Victini,"Psychic, Fire",Generation-v,Unova,,
495,Snivy,Grass,Generation-v,Unova,,Servine
496,Servine,Grass,Generation-v,Unova,Snivy,Serperior
497,Serperior,Grass,Generation-v,Unova,Servine,
498,Tepig,Fire,Generation-v,Unova,,Pignite
499,Pignite,"Fire, Fighting",Generation-v,Unova,Tepig,Emboar
500,Emboar,"Fire, Fighting",Generation-v,Unova,Pignite,
501,Oshawott,Water,Generation-v,Unova,,Dewott
502,Dewott,Water,Generation-v,Unova,Oshawott,Samurott
503,Samurott,Water,Generation-v,Unova,Dewott,
504,Patrat,Normal,Generation-v,Unova,,Watchog
505,Watchog,Normal,Generation-v,Unova,Patrat,
506,Lillipup,Normal,Generation-v,Unova,,Herdier
507,Herdier,Normal,Generation-v,Unova,Lillipup,Stoutland
508,Stoutland,Normal,Generation-v,Unova,Herdier,
509,Purrloin,Dark,Generation-v,Unova,,Liepard
510,Liepard,Dark,Generation-v,Unova,Purrloin,
511,Pansage,Grass,Generation-v,Unova,,Simisage
512,Simisage,Grass,Generation-v,Unova,Pansage,
513,Pansear,Fire,Generation-v,Unova,,Simisear
514,Simisear,Fire,Generation-v,Unova,Pansear,
515,Panpour,Water,Generation-v,Unova,,Simipour
516,Simipour,Water,Generation-v,Unova,Panpour,
517,Munna,Psychic,Generation-v,Unova,,Musharna
518,Musharna,Psychic,Generation-v,Unova,Munna,
519,Pidove,"Normal, Flying",Generation-v,Unova,,Tranquill
520,Tranquill,"Normal, Flying",Generation-v,Unova,Pidove,Unfezant
521,Unfezant,"Normal, Flying",Generation-v,Unova,Tranquill,
522,Blitzle,Electric,Generation-v,Unova,,Zebstrika
523,Zebstrika,Electric,Generation-v,Unova,Blitzle,
524,Roggenrola,Rock,Generation-v,Unova,,Boldore
525,Boldore,Rock,Generation-v,Unova,Roggenrola,Gigalith
526,Gigalith,Rock,Generation-v,Unova,Boldore,
527,Woobat,"Psychic, Flying",Generation-v,Unova,,Swoobat
528,Swoobat,"Psychic, Flying",Generation-v,Unova,Woobat,
529,Drilbur,Ground,Generation-v,Unova,,Excadrill
530,Excadrill,"Ground, Steel",Generation-v,Unova,Drilbur,
531,Audino,Normal,Generation-v,Unova,,
532,Timburr,Fighting,Generation-v,Unova,,Gurdurr
533,Gurdurr,Fighting,Generation-v,Unova,Timburr,Conkeldurr
534,Conkeldurr,Fighting,Generation-v,Unova,Gurdurr,
535,Tympole,Water,Generation-v,Unova,,Palpitoad
536,Palpitoad,"Water, Ground",Generation-v,Unova,Tympole,Seismitoad
537,Seismitoad,"Water, Ground",Generation-v,Unova,Palpitoad,
538,Throh,Fighting,Generation-v,Unova,,
539,Sawk,Fighting,Generation-v,Unova,,
540,Sewaddle,"Bug, Grass",Generation-v,Unova,,Swadloon
541,Swadloon,"Bug, Grass",Generation-v,Unova,Sewaddle,Leavanny
542,Leavanny,"Bug, Grass",Generation-v,Unova,Swadloon,
543,Venipede,"Bug, Poison",Generation-v,Unova,,Whirlipede
544,Whirlipede,"Bug, Poison",Generation-v,Unova,Venipede,Scolipede
545,Scolipede,"Bug, Poison",Generation-v,Unova,Whirlipede,
546,Cottonee,"Grass, Fairy",Generation-v,Unova,,Whimsicott
547,Whimsicott,"Grass, Fairy",Generation-v,Unova,Cottonee,
548,Petilil,Grass,Generation-v,Unova,,Lilligant
549,Lilligant,Grass,Generation-v,Unova,Petilil,
550,Basculin-red-striped,Water,Generation-v,Unova,Basculegion,
551,Sandile,"Ground, Dark",Generation-v,Unova,,Krokorok
552,Krokorok,"Ground, Dark",Generation-v,Unova,Sandile,Krookodile
553,Krookodile,"Ground, Dark",Generation-v,Unova,Krokorok,
554,Darumaka,Fire,Generation-v,Unova,,Darmanitan
555,Darmanitan-standard,Fire,Generation-v,Unova,Darmanitan,
556,Maractus,Grass,Generation-v,Unova,,
557,Dwebble,"Bug, Rock",Generation-v,Unova,,Crustle
558,Crustle,"Bug, Rock",Generation-v,Unova,Dwebble,
559,Scraggy,"Dark, Fighting",Generation-v,Unova,,Scrafty
560,Scrafty,"Dark, Fighting",Generation-v,Unova,Scraggy,
561,Sigilyph,"Psychic, Flying",Generation-v,Unova,,
562,Yamask,Ghost,Generation-v,Unova,,Cofagrigus
563,Cofagrigus,Ghost,Generation-v,Unova,Yamask,
564,Tirtouga,"Water, Rock",Generation-v,Unova,,Carracosta
565,Carracosta,"Water, Rock",Generation-v,Unova,Tirtouga,
566,Archen,"Rock, Flying",Generation-v,Unova,,Archeops
567,Archeops,"Rock, Flying",Generation-v,Unova,Archen,
568,Trubbish,Poison,Generation-v,Unova,,Garbodor
569,Garbodor,Poison,Generation-v,Unova,Trubbish,
570,Zorua,Dark,Generation-v,Unova,,Zoroark
571,Zoroark,Dark,Generation-v,Unova,Zorua,
572,Minccino,Normal,Generation-v,Unova,,Cinccino
573,Cinccino,Normal,Generation-v,Unova,Minccino,
574,Gothita,Psychic,Generation-v,Unova,,Gothorita
575,Gothorita,Psychic,Generation-v,Unova,Gothita,Gothitelle
576,Gothitelle,Psychic,Generation-v,Unova,Gothorita,
577,Solosis,Psychic,Generation-v,Unova,,Duosion
578,Duosion,Psychic,Generation-v,Unova,Solosis,Reuniclus
579,Reuniclus,Psychic,Generation-v,Unova,Duosion,
580,Ducklett,"Water, Flying",Generation-v,Unova,,Swanna
581,Swanna,"Water, Flying",Generation-v,Unova,Ducklett,
582,Vanillite,Ice,Generation-v,Unova,,Vanillish
583,Vanillish,Ice,Generation-v,Unova,Vanillite,Vanilluxe
584,Vanilluxe,Ice,Generation-v,Unova,Vanillish,
585,Deerling,"Normal, Grass",Generation-v,Unova,,Sawsbuck
586,Sawsbuck,"Normal, Grass",Generation-v,Unova,Deerling,
587,Emolga,"Electric, Flying",Generation-v,Unova,,
588,Karrablast,Bug,Generation-v,Unova,,Escavalier
589,Escavalier,"Bug, Steel",Generation-v,Unova,Karrablast,
590,Foongus,"Grass, Poison",Generation-v,Unova,,Amoonguss
591,Amoonguss,"Grass, Poison",Generation-v,Unova,Foongus,
592,Frillish,"Water, Ghost",Generation-v,Unova,,Jellicent
593,Jellicent,"Water, Ghost",Generation-v,Unova,Frillish,
594,Alomomola,Water,Generation-v,Unova,,
595,Joltik,"Bug, Electric",Generation-v,Unova,,Galvantula
596,Galvantula,"Bug, Electric",Generation-v,Unova,Joltik,
597,Ferroseed,"Grass, Steel",Generation-v,Unova,,Ferrothorn
598,Ferrothorn,"Grass, Steel",Generation-v,Unova,Ferroseed,
599,Klink,Steel,Generation-v,Unova,,Klang
600,Klang,Steel,Generation-v,Unova,Klink,Klinklang
601,Klinklang,Steel,Generation-v,Unova,Klang,
602,Tynamo,Electric,Generation-v,Unova,,Eelektrik
603,Eelektrik,Electric,Generation-v,Unova,Tynamo,Eelektross
604,Eelektross,Electric,Generation-v,Unova,Eelektrik,
605,Elgyem,Psychic,Generation-v,Unova,,Beheeyem
606,Beheeyem,Psychic,Generation-v,Unova,Elgyem,
607,Litwick,"Ghost, Fire",Generation-v,Unova,,Lampent
608,Lampent,"Ghost, Fire",Generation-v,Unova,Litwick,Chandelure
609,Chandelure,"Ghost, Fire",Generation-v,Unova,Lampent,
610,Axew,Dragon,Generation-v,Unova,,Fraxure
611,Fraxure,Dragon,Generation-v,Unova,Axew,Haxorus
612,Haxorus,Dragon,Generation-v,Unova,Fraxure,
613,Cubchoo,Ice,Generation-v,Unova,,Beartic
614,Beartic,Ice,Generation-v,Unova,Cubchoo,
615,Cryogonal,Ice,Generation-v,Unova,,
616,Shelmet,Bug,Generation-v,Unova,,Accelgor
617,Accelgor,Bug,Generation-v,Unova,Shelmet,
618,Stunfisk,"Ground, Electric",Generation-v,Unova,,
619,Mienfoo,Fighting,Generation-v,Unova,,Mienshao
620,Mienshao,Fighting,Generation-v,Unova,Mienfoo,
621,Druddigon,Dragon,Generation-v,Unova,,
622,Golett,"Ground, Ghost",Generation-v,Unova,,Golurk
623,Golurk,"Ground, Ghost",Generation-v,Unova,Golett,
624,Pawniard,"Dark, Steel",Generation-v,Unova,,Bisharp
625,Bisharp,"Dark, Steel",Generation-v,Unova,Pawniard,Kingambit
626,Bouffalant,Normal,Generation-v,Unova,,
627,Rufflet,"Normal, Flying",Generation-v,Unova,,Braviary
628,Braviary,"Normal, Flying",Generation-v,Unova,Rufflet,
629,Vullaby,"Dark, Flying",Generation-v,Unova,,Mandibuzz
630,Mandibuzz,"Dark, Flying",Generation-v,Unova,Vullaby,
631,Heatmor,Fire,Generation-v,Unova,,
632,Durant,"Bug, Steel",Generation-v,Unova,,
633,Deino,"Dark, Dragon",Generation-v,Unova,,Zweilous
634,Zweilous,"Dark, Dragon",Generation-v,Unova,Deino,Hydreigon
635,Hydreigon,"Dark, Dragon",Generation-v,Unova,Zweilous,
636,Larvesta,"Bug, Fire",Generation-v,Unova,,Volcarona
637,Volcarona,"Bug, Fire",Generation-v,Unova,Larvesta,
638,Cobalion,"Steel, Fighting",Generation-v,Unova,,
639,Terrakion,"Rock, Fighting",Generation-v,Unova,,
640,Virizion,"Grass, Fighting",Generation-v,Unova,,
641,Tornadus-incarnate,Flying,Generation-v,Unova,,
642,Thundurus-incarnate,"Electric, Flying",Generation-v,Unova,,
643,Reshiram,"Dragon, Fire",Generation-v,Unova,,
644,Zekrom,"Dragon, Electric",Generation-v,Unova,,
645,Landorus-incarnate,"Ground, Flying",Generation-v,Unova,,
646,Kyurem,"Dragon, Ice",Generation-v,Unova,,
647,Keldeo-ordinary,"Water, Fighting",Generation-v,Unova,,
648,Meloetta-aria,"Normal, Psychic",Generation-v,Unova,,
649,Genesect,"Bug, Steel",Generation-v,Unova,,
650,Chespin,Grass,Generation-vi,Kalos,,Quilladin
651,Quilladin,Grass,Generation-vi,Kalos,Chespin,Chesnaught
652,Chesnaught,"Grass, Fighting",Generation-vi,Kalos,Quilladin,
653,Fennekin,Fire,Generation-vi,Kalos,,Braixen
654,Braixen,Fire,Generation-vi,Kalos,Fennekin,Delphox
655,Delphox,"Fire, Psychic",Generation-vi,Kalos,Braixen,
656,Froakie,Water,Generation-vi,Kalos,,Frogadier
657,Frogadier,Water,Generation-vi,Kalos,Froakie,Greninja
658,Greninja,"Water, Dark",Generation-vi,Kalos,Frogadier,
659,Bunnelby,Normal,Generation-vi,Kalos,,Diggersby
660,Diggersby,"Normal, Ground",Generation-vi,Kalos,Bunnelby,
661,Fletchling,"Normal, Flying",Generation-vi,Kalos,,Fletchinder
662,Fletchinder,"Fire, Flying",Generation-vi,Kalos,Fletchling,Talonflame
663,Talonflame,"Fire, Flying",Generation-vi,Kalos,Fletchinder,
664,Scatterbug,Bug,Generation-vi,Kalos,,Spewpa
665,Spewpa,Bug,Generation-vi,Kalos,Scatterbug,Vivillon
666,Vivillon,"Bug, Flying",Generation-vi,Kalos,Spewpa,
667,Litleo,"Fire, Normal",Generation-vi,Kalos,,Pyroar
668,Pyroar,"Fire, Normal",Generation-vi,Kalos,Litleo,
669,Flabebe,Fairy,Generation-vi,Kalos,,Floette
670,Floette,Fairy,Generation-vi,Kalos,Flabebe,Florges
671,Florges,Fairy,Generation-vi,Kalos,Floette,
672,Skiddo,Grass,Generation-vi,Kalos,,Gogoat
673,Gogoat,Grass,Generation-vi,Kalos,Skiddo,
674,Pancham,Fighting,Generation-vi,Kalos,,Pangoro
675,Pangoro,"Fighting, Dark",Generation-vi,Kalos,Pancham,
676,Furfrou,Normal,Generation-vi,Kalos,,
677,Espurr,Psychic,Generation-vi,Kalos,,Meowstic
678,Meowstic-male,Psychic,Generation-vi,Kalos,Meowstic,
679,Honedge,"Steel, Ghost",Generation-vi,Kalos,,Doublade
680,Doublade,"Steel, Ghost",Generation-vi,Kalos,Honedge,Aegislash
681,Aegislash-shield,"Steel, Ghost",Generation-vi,Kalos,Aegislash,
682,Spritzee,Fairy,Generation-vi,Kalos,,Aromatisse
683,Aromatisse,Fairy,Generation-vi,Kalos,Spritzee,
684,Swirlix,Fairy,Generation-vi,Kalos,,Slurpuff
685,Slurpuff,Fairy,Generation-vi,Kalos,Swirlix,
686,Inkay,"Dark, Psychic",Generation-vi,Kalos,,Malamar
687,Malamar,"Dark, Psychic",Generation-vi,Kalos,Inkay,
688,Binacle,"Rock, Water",Generation-vi,Kalos,,Barbaracle
689,Barbaracle,"Rock, Water",Generation-vi,Kalos,Binacle,
690,Skrelp,"Poison, Water",Generation-vi,Kalos,,Dragalge
691,Dragalge,"Poison, Dragon",Generation-vi,Kalos,Skrelp,
692,Clauncher,Water,Generation-vi,Kalos,,Clawitzer
693,Clawitzer,Water,Generation-vi,Kalos,Clauncher,
694,Helioptile,"Electric, Normal",Generation-vi,Kalos,,Heliolisk
695,Heliolisk,"Electric, Normal",Generation-vi,Kalos,Helioptile,
696,Tyrunt,"Rock, Dragon",Generation-vi,Kalos,,Tyrantrum
697,Tyrantrum,"Rock, Dragon",Generation-vi,Kalos,Tyrunt,
698,Amaura,"Rock, Ice",Generation-vi,Kalos,,Aurorus
699,Aurorus,"Rock, Ice",Generation-vi,Kalos,Amaura,
700,Sylveon,Fairy,Generation-vi,Kalos,Vaporeon,
701,Hawlucha,"Fighting, Flying",Generation-vi,Kalos,,
702,Dedenne,"Electric, Fairy",Generation-vi,Kalos,,
703,Carbink,"Rock, Fairy",Generation-vi,Kalos,,
704,Goomy,Dragon,Generation-vi,Kalos,,Sliggoo
705,Sliggoo,Dragon,Generation-vi,Kalos,Goomy,Goodra
706,Goodra,Dragon,Generation-vi,Kalos,Sliggoo,
707,Klefki,"Steel, Fairy",Generation-vi,Kalos,,
708,Phantump,"Ghost, Grass",Generation-vi,Kalos,,Trevenant
709,Trevenant,"Ghost, Grass",Generation-vi,Kalos,Phantump,
710,Pumpkaboo-average,"Ghost, Grass",Generation-vi,Kalos,Gourgeist,
711,Gourgeist-average,"Ghost, Grass",Generation-vi,Kalos,Gourgeist,
712,Bergmite,Ice,Generation-vi,Kalos,,Avalugg
713,Avalugg,Ice,Generation-vi,Kalos,Bergmite,
714,Noibat,"Flying, Dragon",Generation-vi,Kalos,,Noivern
715,Noivern,"Flying, Dragon",Generation-vi,Kalos,Noibat,
716,Xerneas,Fairy,Generation-vi,Kalos,,
717,Yveltal,"Dark, Flying",Generation-vi,Kalos,,
718,Zygarde-50,"Dragon, Ground",Generation-vi,Kalos,,
719,Diancie,"Rock, Fairy",Generation-vi,Kalos,,
720,Hoopa,"Psychic, Ghost",Generation-vi,Kalos,,
721,Volcanion,"Fire, Water",Generation-vi,Kalos,,
722,Rowlet,"Grass, Flying",Generation-vii,Alola,,Dartrix
723,Dartrix,"Grass, Flying",Generation-vii,Alola,Rowlet,Decidueye
724,Decidueye,"Grass, Ghost",Generation-vii,Alola,Dartrix,
725,Litten,Fire,Generation-vii,Alola,,Torracat
726,Torracat,Fire,Generation-vii,Alola,Litten,Incineroar
727,Incineroar,"Fire, Dark",Generation-vii,Alola,Torracat,
728,Popplio,Water,Generation-vii,Alola,,Brionne
729,Brionne,Water,Generation-vii,Alola,Popplio,Primarina
730,Primarina,"Water, Fairy",Generation-vii,Alola,Brionne,
731,Pikipek,"Normal, Flying",Generation-vii,Alola,,Trumbeak
732,Trumbeak,"Normal, Flying",Generation-vii,Alola,Pikipek,Toucannon
733,Toucannon,"Normal, Flying",Generation-vii,Alola,Trumbeak,
734,Yungoos,Normal,Generation-vii,Alola,,Gumshoos
735,Gumshoos,Normal,Generation-vii,Alola,Yungoos,
736,Grubbin,Bug,Generation-vii,Alola,,Charjabug
737,Charjabug,"Bug, Electric",Generation-vii,Alola,Grubbin,Vikavolt
738,Vikavolt,"Bug, Electric",Generation-vii,Alola,Charjabug,
739,Crabrawler,Fighting,Generation-vii,Alola,,Crabominable
740,Crabominable,"Fighting, Ice",Generation-vii,Alola,Crabrawler,
741,Oricorio-baile,"Fire, Flying",Generation-vii,Alola,,
742,Cutiefly,"Bug, Fairy",Generation-vii,Alola,,Ribombee
743,Ribombee,"Bug, Fairy",Generation-vii,Alola,Cutiefly,
744,Rockruff,Rock,Generation-vii,Alola,,Lycanroc
745,Lycanroc-midday,Rock,Generation-vii,Alola,Lycanroc,
746,Wishiwashi-solo,Water,Generation-vii,Alola,,
747,Mareanie,"Poison, Water",Generation-vii,Alola,,Toxapex
748,Toxapex,"Poison, Water",Generation-vii,Alola,Mareanie,
749,Mudbray,Ground,Generation-vii,Alola,,Mudsdale
750,Mudsdale,Ground,Generation-vii,Alola,Mudbray,
751,Dewpider,"Water, Bug",Generation-vii,Alola,,Araquanid
752,Araquanid,"Water, Bug",Generation-vii,Alola,Dewpider,
753,Fomantis,Grass,Generation-vii,Alola,,Lurantis
754,Lurantis,Grass,Generation-vii,Alola,Fomantis,
755,Morelull,"Grass, Fairy",Generation-vii,Alola,,Shiinotic
756,Shiinotic,"Grass, Fairy",Generation-vii,Alola,Morelull,
757,Salandit,"Poison, Fire",Generation-vii,Alola,,Salazzle
758,Salazzle,"Poison, Fire",Generation-vii,Alola,Salandit,
759,Stufful,"Normal, Fighting",Generation-vii,Alola,,Bewear
760,Bewear,"Normal, Fighting",Generation-vii,Alola,Stufful,
761,Bounsweet,Grass,Generation-vii,Alola,,Steenee
762,Steenee,Grass,Generation-vii,Alola,Bounsweet,Tsareena
763,Tsareena,Grass,Generation-vii,Alola,Steenee,
764,Comfey,Fairy,Generation-vii,Alola,,
765,Oranguru,"Normal, Psychic",Generation-vii,Alola,,
766,Passimian,Fighting,Generation-vii,Alola,,
767,Wimpod,"Bug, Water",Generation-vii,Alola,,Golisopod
768,Golisopod,"Bug, Water",Generation-vii,Alola,Wimpod,
769,Sandygast,"Ghost, Ground",Generation-vii,Alola,,Palossand
770,Palossand,"Ghost, Ground",Generation-vii,Alola,Sandygast,
771,Pyukumuku,Water,Generation-vii,Alola,,
772,Type-null,Normal,Generation-vii,Alola,,Silvally
773,Silvally,Normal,Generation-vii,Alola,Type-null,
774,Minior-red-meteor,"Rock, Flying",Generation-vii,Alola,,
775,Komala,Normal,Generation-vii,Alola,,
776,Turtonator,"Fire, Dragon",Generation-vii,Alola,,
777,Togedemaru,"Electric, Steel",Generation-vii,Alola,,
778,Mimikyu-disguised,"Ghost, Fairy",Generation-vii,Alola,,
779,Bruxish,"Water, Psychic",Generation-vii,Alola,,
780,Drampa,"Normal, Dragon",Generation-vii,Alola,,
781,Dhelmise,"Ghost, Grass",Generation-vii,Alola,,
782,Jangmo-o,Dragon,Generation-vii,Alola,,Hakamo-o
783,Hakamo-o,"Dragon, Fighting",Generation-vii,Alola,Jangmo-o,Kommo-o
784,Kommo-o,"Dragon, Fighting",Generation-vii,Alola,Hakamo-o,
785,Tapu-koko,"Electric, Fairy",Generation-vii,Alola,,
786,Tapu-lele,"Psychic, Fairy",Generation-vii,Alola,,
787,Tapu-bulu,"Grass, Fairy",Generation-vii,Alola,,
788,Tapu-fini,"Water, Fairy",Generation-vii,Alola,,
789,Cosmog,Psychic,Generation-vii,Alola,,Cosmoem
790,Cosmoem,Psychic,Generation-vii,Alola,Cosmog,Solgaleo Lunala
791,Solgaleo,"Psychic, Steel",Generation-vii,Alola,Cosmoem,
792,Lunala,"Psychic, Ghost",Generation-vii,Alola,Solgaleo,
793,Nihilego,"Rock, Poison",Generation-vii,Alola,,
794,Buzzwole,"Bug, Fighting",Generation-vii,Alola,,
795,Pheromosa,"Bug, Fighting",Generation-vii,Alola,,
796,Xurkitree,Electric,Generation-vii,Alola,,
797,Celesteela,"Steel, Flying",Generation-vii,Alola,,
798,Kartana,"Grass, Steel",Generation-vii,Alola,,
799,Guzzlord,"Dark, Dragon",Generation-vii,Alola,,
800,Necrozma,Psychic,Generation-vii,Alola,,
801,Magearna,"Steel, Fairy",Generation-vii,Alola,,
802,Marshadow,"Fighting, Ghost",Generation-vii,Alola,,
803,Poipole,Poison,Generation-vii,Alola,,Naganadel
804,Naganadel,"Poison, Dragon",Generation-vii,Alola,Poipole,
805,Stakataka,"Rock, Steel",Generation-vii,Alola,,
806,Blacephalon,"Fire, Ghost",Generation-vii,Alola,,
807,Zeraora,Electric,Generation-vii,Alola,,
808,Meltan,Steel,Generation-vii,Alola,,
809,Melmetal,Steel,Generation-vii,Alola,,
810,Grookey,Grass,Generation-viii,Galar,,Thwackey
811,Thwackey,Grass,Generation-viii,Galar,Grookey,Rillaboom
812,Rillaboom,Grass,Generation-viii,Galar,Thwackey,
813,Scorbunny,Fire,Generation-viii,Galar,,Raboot
814,Raboot,Fire,Generation-viii,Galar,Scorbunny,Cinderace
815,Cinderace,Fire,Generation-viii,Galar,Raboot,
816,Sobble,Water,Generation-viii,Galar,,Drizzile
817,Drizzile,Water,Generation-viii,Galar,Sobble,Inteleon
818,Inteleon,Water,Generation-viii,Galar,Drizzile,
819,Skwovet,Normal,Generation-viii,Galar,,Greedent
820,Greedent,Normal,Generation-viii,Galar,Skwovet,
821,Rookidee,Flying,Generation-viii,Galar,,Corvisquire
822,Corvisquire,Flying,Generation-viii,Galar,Rookidee,Corviknight
823,Corviknight,"Flying, Steel",Generation-viii,Galar,Corvisquire,
824,Blipbug,Bug,Generation-viii,Galar,,Dottler
825,Dottler,"Bug, Psychic",Generation-viii,Galar,Blipbug,Orbeetle
826,Orbeetle,"Bug, Psychic",Generation-viii,Galar,Dottler,
827,Nickit,Dark,Generation-viii,Galar,,Thievul
828,Thievul,Dark,Generation-viii,Galar,Nickit,
829,Gossifleur,Grass,Generation-viii,Galar,,Eldegoss
830,Eldegoss,Grass,Generation-viii,Galar,Gossifleur,
831,Wooloo,Normal,Generation-viii,Galar,,Dubwool
832,Dubwool,Normal,Generation-viii,Galar,Wooloo,
833,Chewtle,Water,Generation-viii,Galar,,Drednaw
834,Drednaw,"Water, Rock",Generation-viii,Galar,Chewtle,
835,Yamper,Electric,Generation-viii,Galar,,Boltund
836,Boltund,Electric,Generation-viii,Galar,Yamper,
837,Rolycoly,Rock,Generation-viii,Galar,,Carkol
838,Carkol,"Rock, Fire",Generation-viii,Galar,Rolycoly,Coalossal
839,Coalossal,"Rock, Fire",Generation-viii,Galar,Carkol,
840,Applin,"Grass, Dragon",Generation-viii,Galar,,Flapple Appletun Hydrapple
841,Flapple,"Grass, Dragon",Generation-viii,Galar,Applin,
842,Appletun,"Grass, Dragon",Generation-viii,Galar,Flapple,
843,Silicobra,Ground,Generation-viii,Galar,,Sandaconda
844,Sandaconda,Ground,Generation-viii,Galar,Silicobra,
845,Cramorant,"Flying, Water",Generation-viii,Galar,,
846,Arrokuda,Water,Generation-viii,Galar,,Barraskewda
847,Barraskewda,Water,Generation-viii,Galar,Arrokuda,
848,Toxel,"Electric, Poison",Generation-viii,Galar,,Toxtricity
849,Toxtricity-amped,"Electric, Poison",Generation-viii,Galar,Toxtricity,
850,Sizzlipede,"Fire, Bug",Generation-viii,Galar,,Centiskorch
