Pokedex Number,Name,Types,Generation,Region,Previous Evolution,Evolution
354,Banette,Ghost,Generation-iii,Hoenn,Shuppet,Banette
355,Duskull,Ghost,Generation-iii,Hoenn,Duskull,"Dusclops, Dusknoir"
356,Dusclops,Ghost,Generation-iii,Hoenn,Duskull,"Dusclops, Dusknoir"
357,Tropius,"Grass, Flying",Generation-iii,Hoenn,,
358,Chimecho,Psychic,Generation-iii,Hoenn,Chingling,Chimecho
359,Absol,Dark,Generation-iii,Hoenn,,
360,Wynaut,Psychic,Generation-iii,Hoenn,Wynaut,Wobbuffet
361,Snorunt,Ice,Generation-iii,Hoenn,Snorunt,Glalie
362,Glalie,Ice,Generation-iii,Hoenn,Snorunt,Glalie
363,Spheal,"Ice, Water",Generation-iii,Hoenn,Spheal,"Sealeo, Walrein"
364,Sealeo,"Ice, Water",Generation-iii,Hoenn,Spheal,"Sealeo, Walrein"
365,Walrein,"Ice, Water",Generation-iii,Hoenn,Spheal,"Sealeo, Walrein"
366,Clamperl,Water,Generation-iii,Hoenn,Clamperl,Huntail
367,Huntail,Water,Generation-iii,Hoenn,Clamperl,Huntail
368,Gorebyss,Water,Generation-iii,Hoenn,Clamperl,Huntail
369,Relicanth,"Water, Rock",Generation-iii,Hoenn,,
370,Luvdisc,Water,Generation-iii,Hoenn,,
371,Bagon,Dragon,Generation-iii,Hoenn,Bagon,"Shelgon, Salamence"
372,Shelgon,Dragon,Generation-iii,Hoenn,Bagon,"Shelgon, Salamence"
373,Salamence,"Dragon, Flying",Generation-iii,Hoenn,Bagon,"Shelgon, Salamence"
374,Beldum,"Steel, Psychic",Generation-iii,Hoenn,Beldum,"Metang, Metagross"
375,Metang,"Steel, Psychic",Generation-iii,Hoenn,Beldum,"Metang, Metagross"
376,Metagross,"Steel, Psychic",Generation-iii,Hoenn,Beldum,"Metang, Metagross"
377,Regirock,Rock,Generation-iii,Hoenn,,
378,Regice,Ice,Generation-iii,Hoenn,,
379,Registeel,Steel,Generation-iii,Hoenn,,
380,Latias,"Dragon, Psychic",Generation-iii,Hoenn,,
381,Latios,"Dragon, Psychic",Generation-iii,Hoenn,,
382,Kyogre,Water,Generation-iii,Hoenn,,
383,Groudon,Ground,Generation-iii,Hoenn,,
384,Rayquaza,"Dragon, Flying",Generation-iii,Hoenn,,
385,Jirachi,"Steel, Psychic",Generation-iii,Hoenn,,
386,Deoxys-normal,Psychic,Generation-iii,Hoenn,,
387,Turtwig,Grass,Generation-iv,Sinnoh,Turtwig,"Grotle, Torterra"
388,Grotle,Grass,Generation-iv,Sinnoh,Turtwig,"Grotle, Torterra"
389,Torterra,"Grass, Ground",Generation-iv,Sinnoh,Turtwig,"Grotle, Torterra"
390,Chimchar,Fire,Generation-iv,Sinnoh,Chimchar,"Monferno, Infernape"
391,Monferno,"Fire, Fighting",Generation-iv,Sinnoh,Chimchar,"Monferno, Infernape"
392,Infernape,"Fire, Fighting",Generation-iv,Sinnoh,Chimchar,"Monferno, Infernape"
393,Piplup,Water,Generation-iv,Sinnoh,Piplup,"Prinplup, Empoleon"
394,Prinplup,Water,Generation-iv,Sinnoh,Piplup,"Prinplup, Empoleon"
395,Empoleon,"Water, Steel",Generation-iv,Sinnoh,Piplup,"Prinplup, Empoleon"
396,Starly,"Normal, Flying",Generation-iv,Sinnoh,Starly,"Staravia, Staraptor"
397,Staravia,"Normal, Flying",Generation-iv,Sinnoh,Starly,"Staravia, Staraptor"
398,Staraptor,"Normal, Flying",Generation-iv,Sinnoh,Starly,"Staravia, Staraptor"
399,Bidoof,Normal,Generation-iv,Sinnoh,Bidoof,Bibarel
400,Bibarel,"Normal, Water",Generation-iv,Sinnoh,Bidoof,Bibarel
401,Kricketot,Bug,Generation-iv,Sinnoh,Kricketot,Kricketune
402,Kricketune,Bug,Generation-iv,Sinnoh,Kricketot,Kricketune
403,Shinx,Electric,Generation-iv,Sinnoh,Shinx,"Luxio, Luxray"
404,Luxio,Electric,Generation-iv,Sinnoh,Shinx,"Luxio, Luxray"
405,Luxray,Electric,Generation-iv,Sinnoh,Shinx,"Luxio, Luxray"
406,Budew,"Grass, Poison",Generation-iv,Sinnoh,Budew,"Roselia, Roserade"
407,Roserade,"Grass, Poison",Generation-iv,Sinnoh,Budew,"Roselia, Roserade"
408,Cranidos,Rock,Generation-iv,Sinnoh,Cranidos,Rampardos
409,Rampardos,Rock,Generation-iv,Sinnoh,Cranidos,Rampardos
410,Shieldon,"Rock, Steel",Generation-iv,Sinnoh,Shieldon,Bastiodon
411,Bastiodon,"Rock, Steel",Generation-iv,Sinnoh,Shieldon,Bastiodon
412,Burmy,Bug,Generation-iv,Sinnoh,Burmy,Wormadam
413,Wormadam-plant,"Bug, Grass",Generation-iv,Sinnoh,Burmy,Wormadam
414,Mothim,"Bug, Flying",Generation-iv,Sinnoh,Burmy,Wormadam
415,Combee,"Bug, Flying",Generation-iv,Sinnoh,Combee,Vespiquen
416,Vespiquen,"Bug, Flying",Generation-iv,Sinnoh,Combee,Vespiquen
417,Pachirisu,Electric,Generation-iv,Sinnoh,,
418,Buizel,Water,Generation-iv,Sinnoh,Buizel,Floatzel
419,Floatzel,Water,Generation-iv,Sinnoh,Buizel,Floatzel
420,Cherubi,Grass,Generation-iv,Sinnoh,Cherubi,Cherrim
421,Cherrim,Grass,Generation-iv,Sinnoh,Cherubi,Cherrim
422,Shellos,Water,Generation-iv,Sinnoh,Shellos,Gastrodon
423,Gastrodon,"Water, Ground",Generation-iv,Sinnoh,Shellos,Gastrodon
424,Ambipom,Normal,Generation-iv,Sinnoh,Aipom,Ambipom
425,Drifloon,"Ghost, Flying",Generation-iv,Sinnoh,Drifloon,Drifblim
426,Drifblim,"Ghost, Flying",Generation-iv,Sinnoh,Drifloon,Drifblim
427,Buneary,Normal,Generation-iv,Sinnoh,Buneary,Lopunny
428,Lopunny,Normal,Generation-iv,Sinnoh,Buneary,Lopunny
429,Mismagius,Ghost,Generation-iv,Sinnoh,Misdreavus,Mismagius
430,Honchkrow,"Dark, Flying",Generation-iv,Sinnoh,Murkrow,Honchkrow
431,Glameow,Normal,Generation-iv,Sinnoh,Glameow,Purugly
432,Purugly,Normal,Generation-iv,Sinnoh,Glameow,Purugly
433,Chingling,Psychic,Generation-iv,Sinnoh,Chingling,Chimecho
434,Stunky,"Poison, Dark",Generation-iv,Sinnoh,Stunky,Skuntank
435,Skuntank,"Poison, Dark",Generation-iv,Sinnoh,Stunky,Skuntank
436,Bronzor,"Steel, Psychic",Generation-iv,Sinnoh,Bronzor,Bronzong
437,Bronzong,"Steel, Psychic",Generation-iv,Sinnoh,Bronzor,Bronzong
438,Bonsly,Rock,Generation-iv,Sinnoh,Bonsly,Sudowoodo
439,Mime-jr,"Psychic, Fairy",Generation-iv,Sinnoh,Mime-jr,"Mr-mime, Mr-rime"
440,Happiny,Normal,Generation-iv,Sinnoh,Happiny,"Chansey, Blissey"
441,Chatot,"Normal, Flying",Generation-iv,Sinnoh,,
442,Spiritomb,"Ghost, Dark",Generation-iv,Sinnoh,,
443,Gible,"Dragon, Ground",Generation-iv,Sinnoh,Gible,"Gabite, Garchomp"
444,Gabite,"Dragon, Ground",Generation-iv,Sinnoh,Gible,"Gabite, Garchomp"
445,Garchomp,"Dragon, Ground",Generation-iv,Sinnoh,Gible,"Gabite, Garchomp"
446,Munchlax,Normal,Generation-iv,Sinnoh,Munchlax,Snorlax
447,Riolu,Fighting,Generation-iv,Sinnoh,Riolu,Lucario
448,Lucario,"Fighting, Steel",Generation-iv,Sinnoh,Riolu,Lucario
449,Hippopotas,Ground,Generation-iv,Sinnoh,Hippopotas,Hippowdon
450,Hippowdon,Ground,Generation-iv,Sinnoh,Hippopotas,Hippowdon
451,Skorupi,"Poison, Bug",Generation-iv,Sinnoh,Skorupi,Drapion
452,Drapion,"Poison, Dark",Generation-iv,Sinnoh,Skorupi,Drapion
453,Croagunk,"Poison, Fighting",Generation-iv,Sinnoh,Croagunk,Toxicroak
454,Toxicroak,"Poison, Fighting",Generation-iv,Sinnoh,Croagunk,Toxicroak
455,Carnivine,Grass,Generation-iv,Sinnoh,,
456,Finneon,Water,Generation-iv,Sinnoh,Finneon,Lumineon
457,Lumineon,Water,Generation-iv,Sinnoh,Finneon,Lumineon
458,Mantyke,"Water, Flying",Generation-iv,Sinnoh,Mantyke,Mantine
459,Snover,"Grass, Ice",Generation-iv,Sinnoh,Snover,Abomasnow
460,Abomasnow,"Grass, Ice",Generation-iv,Sinnoh,Snover,Abomasnow
461,Weavile,"Dark, Ice",Generation-iv,Sinnoh,Sneasel,Weavile
462,Magnezone,"Electric, Steel",Generation-iv,Sinnoh,Magnemite,"Magneton, Magnezone"
463,Lickilicky,Normal,Generation-iv,Sinnoh,Lickitung,Lickilicky
464,Rhyperior,"Ground, Rock",Generation-iv,Sinnoh,Rhyhorn,"Rhydon, Rhyperior"
465,Tangrowth,Grass,Generation-iv,Sinnoh,Tangela,Tangrowth
466,Electivire,Electric,Generation-iv,Sinnoh,Elekid,"Electabuzz, Electivire"
467,Magmortar,Fire,Generation-iv,Sinnoh,Magby,"Magmar, Magmortar"
468,Togekiss,"Fairy, Flying",Generation-iv,Sinnoh,Togepi,"Togetic, Togekiss"
469,Yanmega,"Bug, Flying",Generation-iv,Sinnoh,Yanma,Yanmega
470,Leafeon,Grass,Generation-iv,Sinnoh,Eevee,Vaporeon
471,Glaceon,Ice,Generation-iv,Sinnoh,Eevee,Vaporeon
472,Gliscor,"Ground, Flying",Generation-iv,Sinnoh,Gligar,Gliscor
473,Mamoswine,"Ice, Ground",Generation-iv,Sinnoh,Swinub,"Piloswine, Mamoswine"
474,Porygon-z,Normal,Generation-iv,Sinnoh,Porygon,"Porygon2, Porygon-z"
475,Gallade,"Psychic, Fighting",Generation-iv,Sinnoh,Ralts,"Kirlia, Gardevoir"
476,Probopass,"Rock, Steel",Generation-iv,Sinnoh,Nosepass,Probopass
477,Dusknoir,Ghost,Generation-iv,Sinnoh,Duskull,"Dusclops, Dusknoir"
478,Froslass,"Ice, Ghost",Generation-iv,Sinnoh,Snorunt,Glalie
479,Rotom,"Electric, Ghost",Generation-iv,Sinnoh,,
480,Uxie,Psychic,Generation-iv,Sinnoh,,
481,Mesprit,Psychic,Generation-iv,Sinnoh,,
482,Azelf,Psychic,Generation-iv,Sinnoh,,
483,Dialga,"Steel, Dragon",Generation-iv,Sinnoh,,
484,Palkia,"Water, Dragon",Generation-iv,Sinnoh,,
485,Heatran,"Fire, Steel",Generation-iv,Sinnoh,,
486,Regigigas,Normal,Generation-iv,Sinnoh,,
487,Giratina-altered,"Ghost, Dragon",Generation-iv,Sinnoh,,
488,Cresselia,Psychic,Generation-iv,Sinnoh,,
489,Phione,Water,Generation-iv,Sinnoh,Phione,Manaphy
490,Manaphy,Water,Generation-iv,Sinnoh,Phione,Manaphy
491,Darkrai,Dark,Generation-iv,Sinnoh,,
492,Shaymin-land,Grass,Generation-iv,Sinnoh,,
493,Arceus,Normal,Generation-iv,Sinnoh,,
494,Victini,"Psychic, Fire",Generation-v,Unova,,
495,Snivy,Grass,Generation-v,Unova,Snivy,"Servine, Serperior"
496,Servine,Grass,Generation-v,Unova,Snivy,"Servine, Serperior"
497,Serperior,Grass,Generation-v,Unova,Snivy,"Servine, Serperior"
498,Tepig,Fire,Generation-v,Unova,Tepig,"Pignite, Emboar"
499,Pignite,"Fire, Fighting",Generation-v,Unova,Tepig,"Pignite, Emboar"
500,Emboar,"Fire, Fighting",Generation-v,Unova,Tepig,"Pignite, Emboar"
501,Oshawott,Water,Generation-v,Unova,Oshawott,"Dewott, Samurott"
502,Dewott,Water,Generation-v,Unova,Oshawott,"Dewott, Samurott"
503,Samurott,Water,Generation-v,Unova,Oshawott,"Dewott, Samurott"
504,Patrat,Normal,Generation-v,Unova,Patrat,Watchog
505,Watchog,Normal,Generation-v,Unova,Patrat,Watchog
506,Lillipup,Normal,Generation-v,Unova,Lillipup,"Herdier, Stoutland"
507,Herdier,Normal,Generation-v,Unova,Lillipup,"Herdier, Stoutland"
508,Stoutland,Normal,Generation-v,Unova,Lillipup,"Herdier, Stoutland"
509,Purrloin,Dark,Generation-v,Unova,Purrloin,Liepard
510,Liepard,Dark,Generation-v,Unova,Purrloin,Liepard
511,Pansage,Grass,Generation-v,Unova,Pansage,Simisage
512,Simisage,Grass,Generation-v,Unova,Pansage,Simisage
513,Pansear,Fire,Generation-v,Unova,Pansear,Simisear
514,Simisear,Fire,Generation-v,Unova,Pansear,Simisear
515,Panpour,Water,Generation-v,Unova,Panpour,Simipour
516,Simipour,Water,Generation-v,Unova,Panpour,Simipour
517,Munna,Psychic,Generation-v,Unova,Munna,Musharna
518,Musharna,Psychic,Generation-v,Unova,Munna,Musharna
519,Pidove,"Normal, Flying",Generation-v,Unova,Pidove,"Tranquill, Unfezant"
520,Tranquill,"Normal, Flying",Generation-v,Unova,Pidove,"Tranquill, Unfezant"
521,Unfezant,"Normal, Flying",Generation-v,Unova,Pidove,"Tranquill, Unfezant"
522,Blitzle,Electric,Generation-v,Unova,Blitzle,Zebstrika
523,Zebstrika,Electric,Generation-v,Unova,Blitzle,Zebstrika
524,Roggenrola,Rock,Generation-v,Unova,Roggenrola,"Boldore, Gigalith"
525,Boldore,Rock,Generation-v,Unova,Roggenrola,"Boldore, Gigalith"
526,Gigalith,Rock,Generation-v,Unova,Roggenrola,"Boldore, Gigalith"
527,Woobat,"Psychic, Flying",Generation-v,Unova,Woobat,Swoobat
528,Swoobat,"Psychic, Flying",Generation-v,Unova,Woobat,Swoobat
529,Drilbur,Ground,Generation-v,Unova,Drilbur,Excadrill
530,Excadrill,"Ground, Steel",Generation-v,Unova,Drilbur,Excadrill
531,Audino,Normal,Generation-v,Unova,,
532,Timburr,Fighting,Generation-v,Unova,Timburr,"Gurdurr, Conkeldurr"
533,Gurdurr,Fighting,Generation-v,Unova,Timburr,"Gurdurr, Conkeldurr"
534,Conkeldurr,Fighting,Generation-v,Unova,Timburr,"Gurdurr, Conkeldurr"
535,Tympole,Water,Generation-v,Unova,Tympole,"Palpitoad, Seismitoad"
536,Palpitoad,"Water, Ground",Generation-v,Unova,Tympole,"Palpitoad, Seismitoad"
537,Seismitoad,"Water, Ground",Generation-v,Unova,Tympole,"Palpitoad, Seismitoad"
538,Throh,Fighting,Generation-v,Unova,,
539,Sawk,Fighting,Generation-v,Unova,,
540,Sewaddle,"Bug, Grass",Generation-v,Unova,Sewaddle,"Swadloon, Leavanny"
541,Swadloon,"Bug, Grass",Generation-v,Unova,Sewaddle,"Swadloon, Leavanny"
542,Leavanny,"Bug, Grass",Generation-v,Unova,Sewaddle,"Swadloon, Leavanny"
543,Venipede,"Bug, Poison",Generation-v,Unova,Venipede,"Whirlipede, Scolipede"
544,Whirlipede,"Bug, Poison",Generation-v,Unova,Venipede,"Whirlipede, Scolipede"
545,Scolipede,"Bug, Poison",Generation-v,Unova,Venipede,"Whirlipede, Scolipede"
546,Cottonee,"Grass, Fairy",Generation-v,Unova,Cottonee,Whimsicott
547,Whimsicott,"Grass, Fairy",Generation-v,Unova,Cottonee,Whimsicott
548,Petilil,Grass,Generation-v,Unova,Petilil,Lilligant
549,Lilligant,Grass,Generation-v,Unova,Petilil,Lilligant
550,Basculin-red-striped,Water,Generation-v,Unova,Basculin,Basculegion
551,Sandile,"Ground, Dark",Generation-v,Unova,Sandile,"Krokorok, Krookodile"
552,Krokorok,"Ground, Dark",Generation-v,Unova,Sandile,"Krokorok, Krookodile"
553,Krookodile,"Ground, Dark",Generation-v,Unova,Sandile,"Krokorok, Krookodile"
554,Darumaka,Fire,Generation-v,Unova,Darumaka,Darmanitan
555,Darmanitan-standard,Fire,Generation-v,Unova,Darumaka,Darmanitan
556,Maractus,Grass,Generation-v,Unova,,
557,Dwebble,"Bug, Rock",Generation-v,Unova,Dwebble,Crustle
558,Crustle,"Bug, Rock",Generation-v,Unova,Dwebble,Crustle
559,Scraggy,"Dark, Fighting",Generation-v,Unova,Scraggy,Scrafty
560,Scrafty,"Dark, Fighting",Generation-v,Unova,Scraggy,Scrafty
561,Sigilyph,"Psychic, Flying",Generation-v,Unova,,
562,Yamask,Ghost,Generation-v,Unova,Yamask,Cofagrigus
563,Cofagrigus,Ghost,Generation-v,Unova,Yamask,Cofagrigus
564,Tirtouga,"Water, Rock",Generation-v,Unova,Tirtouga,Carracosta
565,Carracosta,"Water, Rock",Generation-v,Unova,Tirtouga,Carracosta
566,Archen,"Rock, Flying",Generation-v,Unova,Archen,Archeops
567,Archeops,"Rock, Flying",Generation-v,Unova,Archen,Archeops
568,Trubbish,Poison,Generation-v,Unova,Trubbish,Garbodor
569,Garbodor,Poison,Generation-v,Unova,Trubbish,Garbodor
570,Zorua,Dark,Generation-v,Unova,Zorua,Zoroark
571,Zoroark,Dark,Generation-v,Unova,Zorua,Zoroark
572,Minccino,Normal,Generation-v,Unova,Minccino,Cinccino
573,Cinccino,Normal,Generation-v,Unova,Minccino,Cinccino
574,Gothita,Psychic,Generation-v,Unova,Gothita,"Gothorita, Gothitelle"
575,Gothorita,Psychic,Generation-v,Unova,Gothita,"Gothorita, Gothitelle"
576,Gothitelle,Psychic,Generation-v,Unova,Gothita,"Gothorita, Gothitelle"
577,Solosis,Psychic,Generation-v,Unova,Solosis,"Duosion, Reuniclus"
578,Duosion,Psychic,Generation-v,Unova,Solosis,"Duosion, Reuniclus"
579,Reuniclus,Psychic,Generation-v,Unova,Solosis,"Duosion, Reuniclus"
580,Ducklett,"Water, Flying",Generation-v,Unova,Ducklett,Swanna
581,Swanna,"Water, Flying",Generation-v,Unova,Ducklett,Swanna
582,Vanillite,Ice,Generation-v,Unova,Vanillite,"Vanillish, Vanilluxe"
583,Vanillish,Ice,Generation-v,Unova,Vanillite,"Vanillish, Vanilluxe"
584,Vanilluxe,Ice,Generation-v,Unova,Vanillite,"Vanillish, Vanilluxe"
585,Deerling,"Normal, Grass",Generation-v,Unova,Deerling,Sawsbuck
586,Sawsbuck,"Normal, Grass",Generation-v,Unova,Deerling,Sawsbuck
587,Emolga,"Electric, Flying",Generation-v,Unova,,
588,Karrablast,Bug,Generation-v,Unova,Karrablast,Escavalier
589,Escavalier,"Bug, Steel",Generation-v,Unova,Karrablast,Escavalier
590,Foongus,"Grass, Poison",Generation-v,Unova,Foongus,Amoonguss
591,Amoonguss,"Grass, Poison",Generation-v,Unova,Foongus,Amoonguss
592,Frillish,"Water, Ghost",Generation-v,Unova,Frillish,Jellicent
593,Jellicent,"Water, Ghost",Generation-v,Unova,Frillish,Jellicent
594,Alomomola,Water,Generation-v,Unova,,
595,Joltik,"Bug, Electric",Generation-v,Unova,Joltik,Galvantula
596,Galvantula,"Bug, Electric",Generation-v,Unova,Joltik,Galvantula
597,Ferroseed,"Grass, Steel",Generation-v,Unova,Ferroseed,Ferrothorn
598,Ferrothorn,"Grass, Steel",Generation-v,Unova,Ferroseed,Ferrothorn
599,Klink,Steel,Generation-v,Unova,Klink,"Klang, Klinklang"
600,Klang,Steel,Generation-v,Unova,Klink,"Klang, Klinklang"
601,Klinklang,Steel,Generation-v,Unova,Klink,"Klang, Klinklang"
602,Tynamo,Electric,Generation-v,Unova,Tynamo,"Eelektrik, Eelektross"
603,Eelektrik,Electric,Generation-v,Unova,Tynamo,"Eelektrik, Eelektross"
604,Eelektross,Electric,Generation-v,Unova,Tynamo,"Eelektrik, Eelektross"
605,Elgyem,Psychic,Generation-v,Unova,Elgyem,Beheeyem
606,Beheeyem,Psychic,Generation-v,Unova,Elgyem,Beheeyem
607,Litwick,"Ghost, Fire",Generation-v,Unova,Litwick,"Lampent, Chandelure"
608,Lampent,"Ghost, Fire",Generation-v,Unova,Litwick,"Lampent, Chandelure"
609,Chandelure,"Ghost, Fire",Generation-v,Unova,Litwick,"Lampent, Chandelure"
610,Axew,Dragon,Generation-v,Unova,Axew,"Fraxure, Haxorus"
611,Fraxure,Dragon,Generation-v,Unova,Axew,"Fraxure, Haxorus"
612,Haxorus,Dragon,Generation-v,Unova,Axew,"Fraxure, Haxorus"
613,Cubchoo,Ice,Generation-v,Unova,Cubchoo,Beartic
614,Beartic,Ice,Generation-v,Unova,Cubchoo,Beartic
615,Cryogonal,Ice,Generation-v,Unova,,
616,Shelmet,Bug,Generation-v,Unova,Shelmet,Accelgor
617,Accelgor,Bug,Generation-v,Unova,Shelmet,Accelgor
618,Stunfisk,"Ground, Electric",Generation-v,Unova,,
619,Mienfoo,Fighting,Generation-v,Unova,Mienfoo,Mienshao
620,Mienshao,Fighting,Generation-v,Unova,Mienfoo,Mienshao
621,Druddigon,Dragon,Generation-v,Unova,,
622,Golett,"Ground, Ghost",Generation-v,Unova,Golett,Golurk
623,Golurk,"Ground, Ghost",Generation-v,Unova,Golett,Golurk
624,Pawniard,"Dark, Steel",Generation-v,Unova,Pawniard,"Bisharp, Kingambit"
625,Bisharp,"Dark, Steel",Generation-v,Unova,Pawniard,"Bisharp, Kingambit"
626,Bouffalant,Normal,Generation-v,Unova,,
627,Rufflet,"Normal, Flying",Generation-v,Unova,Rufflet,Braviary
628,Braviary,"Normal, Flying",Generation-v,Unova,Rufflet,Braviary
629,Vullaby,"Dark, Flying",Generation-v,Unova,Vullaby,Mandibuzz
630,Mandibuzz,"Dark, Flying",Generation-v,Unova,Vullaby,Mandibuzz
631,Heatmor,Fire,Generation-v,Unova,,
632,Durant,"Bug, Steel",Generation-v,Unova,,
633,Deino,"Dark, Dragon",Generation-v,Unova,Deino,"Zweilous, Hydreigon"
634,Zweilous,"Dark, Dragon",Generation-v,Unova,Deino,"Zweilous, Hydreigon"
635,Hydreigon,"Dark, Dragon",Generation-v,Unova,Deino,"Zweilous, Hydreigon"
636,Larvesta,"Bug, Fire",Generation-v,Unova,Larvesta,Volcarona
637,Volcarona,"Bug, Fire",Generation-v,Unova,Larvesta,Volcarona
638,Cobalion,"Steel, Fighting",Generation-v,Unova,,
639,Terrakion,"Rock, Fighting",Generation-v,Unova,,
640,Virizion,"Grass, Fighting",Generation-v,Unova,,
641,Tornadus-incarnate,Flying,Generation-v,Unova,,
642,Thundurus-incarnate,"Electric, Flying",Generation-v,Unova,,
643,Reshiram,"Dragon, Fire",Generation-v,Unova,,
644,Zekrom,"Dragon, Electric",Generation-v,Unova,,
645,Landorus-incarnate,"Ground, Flying",Generation-v,Unova,,
646,Kyurem,"Dragon, Ice",Generation-v,Unova,,
647,Keldeo-ordinary,"Water, Fighting",Generation-v,Unova,,
648,Meloetta-aria,"Normal, Psychic",Generation-v,Unova,,
649,Genesect,"Bug, Steel",Generation-v,Unova,,
650,Chespin,Grass,Generation-vi,Kalos,Chespin,"Quilladin, Chesnaught"
651,Quilladin,Grass,Generation-vi,Kalos,Chespin,"Quilladin, Chesnaught"
652,Chesnaught,"Grass, Fighting",Generation-vi,Kalos,Chespin,"Quilladin, Chesnaught"
653,Fennekin,Fire,Generation-vi,Kalos,Fennekin,"Braixen, Delphox"
654,Braixen,Fire,Generation-vi,Kalos,Fennekin,"Braixen, Delphox"
655,Delphox,"Fire, Psychic",Generation-vi,Kalos,Fennekin,"Braixen, Delphox"
656,Froakie,Water,Generation-vi,Kalos,Froakie,"Frogadier, Greninja"
657,Frogadier,Water,Generation-vi,Kalos,Froakie,"Frogadier, Greninja"
658,Greninja,"Water, Dark",Generation-vi,Kalos,Froakie,"Frogadier, Greninja"
659,Bunnelby,Normal,Generation-vi,Kalos,Bunnelby,Diggersby
660,Diggersby,"Normal, Ground",Generation-vi,Kalos,Bunnelby,Diggersby
661,Fletchling,"Normal, Flying",Generation-vi,Kalos,Fletchling,"Fletchinder, Talonflame"
662,Fletchinder,"Fire, Flying",Generation-vi,Kalos,Fletchling,"Fletchinder, Talonflame"
663,Talonflame,"Fire, Flying",Generation-vi,Kalos,Fletchling,"Fletchinder, Talonflame"
664,Scatterbug,Bug,Generation-vi,Kalos,Scatterbug,"Spewpa, Vivillon"
665,Spewpa,Bug,Generation-vi,Kalos,Scatterbug,"Spewpa, Vivillon"
666,Vivillon,"Bug, Flying",Generation-vi,Kalos,Scatterbug,"Spewpa, Vivillon"
667,Litleo,"Fire, Normal",Generation-vi,Kalos,Litleo,Pyroar
668,Pyroar,"Fire, Normal",Generation-vi,Kalos,Litleo,Pyroar
669,Flabebe,Fairy,Generation-vi,Kalos,Flabebe,"Floette, Florges"
670,Floette,Fairy,Generation-vi,Kalos,Flabebe,"Floette, Florges"
671,Florges,Fairy,Generation-vi,Kalos,Flabebe,"Floette, Florges"
672,Skiddo,Grass,Generation-vi,Kalos,Skiddo,Gogoat
673,Gogoat,Grass,Generation-vi,Kalos,Skiddo,Gogoat
674,Pancham,Fighting,Generation-vi,Kalos,Pancham,Pangoro
675,Pangoro,"Fighting, Dark",Generation-vi,Kalos,Pancham,Pangoro
676,Furfrou,Normal,Generation-vi,Kalos,,
677,Espurr,Psychic,Generation-vi,Kalos,Espurr,Meowstic
678,Meowstic-male,Psychic,Generation-vi,Kalos,Espurr,Meowstic
679,Honedge,"Steel, Ghost",Generation-vi,Kalos,Honedge,"Doublade, Aegislash"
680,Doublade,"Steel, Ghost",Generation-vi,Kalos,Honedge,"Doublade, Aegislash"
681,Aegislash-shield,"Steel, Ghost",Generation-vi,Kalos,Honedge,"Doublade, Aegislash"
682,Spritzee,Fairy,Generation-vi,Kalos,Spritzee,Aromatisse
683,Aromatisse,Fairy,Generation-vi,Kalos,Spritzee,Aromatisse
684,Swirlix,Fairy,Generation-vi,Kalos,Swirlix,Slurpuff
685,Slurpuff,Fairy,Generation-vi,Kalos,Swirlix,Slurpuff
686,Inkay,"Dark, Psychic",Generation-vi,Kalos,Inkay,Malamar
687,Malamar,"Dark, Psychic",Generation-vi,Kalos,Inkay,Malamar
688,Binacle,"Rock, Water",Generation-vi,Kalos,Binacle,Barbaracle
689,Barbaracle,"Rock, Water",Generation-vi,Kalos,Binacle,Barbaracle
690,Skrelp,"Poison, Water",Generation-vi,Kalos,Skrelp,Dragalge
691,Dragalge,"Poison, Dragon",Generation-vi,Kalos,Skrelp,Dragalge
692,Clauncher,Water,Generation-vi,Kalos,Clauncher,Clawitzer
693,Clawitzer,Water,Generation-vi,Kalos,Clauncher,Clawitzer
694,Helioptile,"Electric, Normal",Generation-vi,Kalos,Helioptile,Heliolisk
695,Heliolisk,"Electric, Normal",Generation-vi,Kalos,Helioptile,Heliolisk
696,Tyrunt,"Rock, Dragon",Generation-vi,Kalos,Tyrunt,Tyrantrum
697,Tyrantrum,"Rock, Dragon",Generation-vi,Kalos,Tyrunt,Tyrantrum
698,Amaura,"Rock, Ice",Generation-vi,Kalos,Amaura,Aurorus
699,Aurorus,"Rock, Ice",Generation-vi,Kalos,Amaura,Aurorus
700,Sylveon,Fairy,Generation-vi,Kalos,Eevee,Vaporeon
701,Hawlucha,"Fighting, Flying",Generation-vi,Kalos,,
702,Dedenne,"Electric, Fairy",Generation-vi,Kalos,,
703,Carbink,"Rock, Fairy",Generation-vi,Kalos,,
704,Goomy,Dragon,Generation-vi,Kalos,Goomy,"Sliggoo, Goodra"
705,Sliggoo,Dragon,Generation-vi,Kalos,Goomy,"Sliggoo, Goodra"
706,Goodra,Dragon,Generation-vi,Kalos,Goomy,"Sliggoo, Goodra"
707,Klefki,"Steel, Fairy",Generation-vi,Kalos,,
708,Phantump,"Ghost, Grass",Generation-vi,Kalos,Phantump,Trevenant
709,Trevenant,"Ghost, Grass",Generation-vi,Kalos,Phantump,Trevenant
710,Pumpkaboo-average,"Ghost, Grass",Generation-vi,Kalos,Pumpkaboo,Gourgeist
711,Gourgeist-average,"Ghost, Grass",Generation-vi,Kalos,Pumpkaboo,Gourgeist
712,Bergmite,Ice,Generation-vi,Kalos,Bergmite,Avalugg
